,filename,path,mimeType,fileType,job_id,aws_path,Status,Error,DatadocsURL,bytesize,checksum
0,adcp.csv,_jgofs/output/20230414143635/datasets/data/2291/dataURL/adcp.csv,text/csv,Comma Separated Values (.csv),N77GrgGS9omyyD,N77GrgGS9omyyD/adcp.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/N77GrgGS9omyyD/adcp.csv,112,08edd3cbae366b4a3b2475d44694ccf7
1,all_species_seen.csv,_jgofs/output/20230414143635/datasets/data/2292/dataURL/all_species_seen.csv,text/csv,Comma Separated Values (.csv),XYYPGvwHq9V86O,XYYPGvwHq9V86O/all_species_seen.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/XYYPGvwHq9V86O/all_species_seen.csv,4063,0cb1ad61342419f7c6d0713a4220a229
2,bathymetry.csv,_jgofs/output/20230414143635/datasets/data/2293/dataURL/bathymetry.csv,text/csv,Comma Separated Values (.csv),GwwAkJxFAn0XKB,GwwAkJxFAn0XKB/bathymetry.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/GwwAkJxFAn0XKB/bathymetry.csv,902153,61f97cb842c5b89b304d481a2a2535bc
3,bathy_ADCP.csv,_jgofs/output/20230414143635/datasets/data/2294/dataURL/bathy_ADCP.csv,text/csv,Comma Separated Values (.csv),VJJWDqyHkP5WK4,VJJWDqyHkP5WK4/bathy_ADCP.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/VJJWDqyHkP5WK4/bathy_ADCP.csv,1272158,e791b3231ac00fe3679103c8df06bfa8
4,BMP2_ess.csv,_jgofs/output/20230414143635/datasets/data/2295/dataURL/BMP2_ess.csv,text/csv,Comma Separated Values (.csv),3YY3qg0I9178DL,3YY3qg0I9178DL/BMP2_ess.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/3YY3qg0I9178DL/BMP2_ess.csv,98786366,0a85f14ca8c34b223b85c8b43b795660
5,broadscale_grid.csv,_jgofs/output/20230414143635/datasets/data/2296/dataURL/broadscale_grid.csv,text/csv,Comma Separated Values (.csv),P66GwkpfJJKXwm,P66GwkpfJJKXwm/broadscale_grid.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/P66GwkpfJJKXwm/broadscale_grid.csv,78574,b97314304198a56844f95fb9d7a2b766
6,broadscale_summary.csv,_jgofs/output/20230414143635/datasets/data/2297/dataURL/broadscale_summary.csv,text/csv,Comma Separated Values (.csv),qAAoEqXHO10BBp,qAAoEqXHO10BBp/broadscale_summary.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/qAAoEqXHO10BBp/broadscale_summary.csv,8268,d5bc8844992d0e666b5d5973736dc022
7,chloro_bottle.csv,_jgofs/output/20230414143635/datasets/data/2298/dataURL/chloro_bottle.csv,text/csv,Comma Separated Values (.csv),k66gxklho5lO9W,k66gxklho5lO9W/chloro_bottle.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/k66gxklho5lO9W/chloro_bottle.csv,375305,64a1355110812c62b1d57a330e6a64da
8,chloro_bottle_ctd_join.csv,_jgofs/output/20230414143635/datasets/data/2299/dataURL/chloro_bottle_ctd_join.csv,text/csv,Comma Separated Values (.csv),3YY3qgpS2rZgD3,3YY3qgpS2rZgD3/chloro_bottle_ctd_join.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/3YY3qgpS2rZgD3/chloro_bottle_ctd_join.csv,144812,c9934119394e2ba4248b99bd25bfff07
9,ctd_cg.csv,_jgofs/output/20230414143635/datasets/data/2300/dataURL/ctd_cg.csv,text/csv,Comma Separated Values (.csv),2GGXpPoTZBzwEA,2GGXpPoTZBzwEA/ctd_cg.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/2GGXpPoTZBzwEA/ctd_cg.csv,1004805,a665c82a8492b7f949a4947a64d3857d
10,ctd_dg.csv,_jgofs/output/20230414143635/datasets/data/2301/dataURL/ctd_dg.csv,text/csv,Comma Separated Values (.csv),JEE1nM2F1NO116,JEE1nM2F1NO116/ctd_dg.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/JEE1nM2F1NO116/ctd_dg.csv,1484867,bc914c496386c4fdfc057ba655df19e9
11,ctd_mocness.csv,_jgofs/output/20230414143635/datasets/data/2302/dataURL/ctd_mocness.csv,text/csv,Comma Separated Values (.csv),wnnxNzlfvp91ww,wnnxNzlfvp91ww/ctd_mocness.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/wnnxNzlfvp91ww/ctd_mocness.csv,214349164,9ce278dc60c3799af06e4ffee727614a
12,ctd_rl.csv,_jgofs/output/20230414143635/datasets/data/2303/dataURL/ctd_rl.csv,text/csv,Comma Separated Values (.csv),M77XqP6fzr4qLK,M77XqP6fzr4qLK/ctd_rl.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/M77XqP6fzr4qLK/ctd_rl.csv,6121269,1f311c02be40c1324e85aab25210f908
13,drifters.csv,_jgofs/output/20230414143635/datasets/data/2304/dataURL/drifters.csv,text/csv,Comma Separated Values (.csv),WWW1ErRujZoOLK,WWW1ErRujZoOLK/drifters.csv,SUCCESS,,https://datadocs.bco-dmo.org/file/WWW1ErRujZoOLK/drifters.csv,15287,f435ac5cc7c0af62cd648096298bf697
